game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,59.38,0.3,37.0,0.274,1927,0.244,1918,0.311,1926
10000,0.24,59.38,0.2,74.5,0.276,1928,0.273,1918,0.29,1926
15000,0.21,58.31,0.2,112.0,0.233,1928,0.238,1918,0.372,1926
20000,0.18,59.85,0.3,150.5,0.235,1930,0.307,1918,0.305,1926
25000,0.15,60.6,0.2,189.4,0.294,1930,0.293,1918,0.246,1929
30000,0.12,61.72,0.3,229.1,0.272,1930,0.269,1918,0.291,1929
35000,0.12,59.93,0.3,267.9,0.249,1930,0.227,1921,0.348,1930
40000,0.12,60.48,0.2,307.7,0.229,1930,0.286,1922,0.315,1932
45000,0.12,61.0,0.2,347.6,0.256,1930,0.316,1922,0.255,1932
50000,0.12,59.13,0.2,386.2,0.32,1930,0.277,1922,0.235,1932
55000,0.12,60.16,0.2,425.3,0.347,1930,0.208,1923,0.294,1932
60000,0.12,60.17,0.2,464.7,0.268,1931,0.206,1923,0.351,1932
