game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,59.88,0.2,38.1,0.296,1908,0.285,1898,0.247,1906
10000,0.24,58.69,0.3,75.8,0.312,1909,0.284,1899,0.238,1907
15000,0.21,59.31,0.3,114.3,0.343,1910,0.278,1899,0.211,1910
20000,0.18,59.23,0.2,152.8,0.258,1910,0.33,1900,0.249,1910
25000,0.15,60.01,0.2,192.4,0.336,1913,0.232,1903,0.263,1911
30000,0.12,60.35,0.3,232.9,0.278,1913,0.219,1905,0.324,1911
35000,0.12,59.93,0.2,272.5,0.237,1916,0.233,1905,0.369,1913
40000,0.12,60.05,0.3,312.4,0.221,1916,0.283,1909,0.314,1913
45000,0.12,59.55,0.2,351.7,0.202,1917,0.368,1909,0.246,1913
50000,0.12,60.34,0.2,391.0,0.243,1917,0.363,1909,0.225,1915
55000,0.12,60.5,0.1,430.0,0.329,1918,0.27,1910,0.242,1915
60000,0.12,59.72,0.2,469.2,0.306,1921,0.282,1910,0.239,1916
