game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,57.47,0.1,56.4,0.287,1824,0.28,1834,0.275,1823
10000,0.24,58.33,0.2,114.4,0.301,1833,0.28,1838,0.263,1828
15000,0.21,57.47,0.2,172.4,0.236,1840,0.294,1847,0.317,1833
20000,0.18,58.47,0.2,230.8,0.239,1851,0.341,1856,0.27,1846
25000,0.15,59.28,0.2,290.9,0.241,1853,0.276,1860,0.329,1849
30000,0.12,59.68,0.1,352.0,0.201,1858,0.3,1866,0.339,1859
35000,0.12,59.06,0.3,411.4,0.192,1864,0.347,1869,0.302,1862
40000,0.12,58.81,0.2,472.6,0.242,1868,0.265,1870,0.327,1868
45000,0.12,60.12,0.4,533.3,0.378,1871,0.226,1874,0.226,1872
50000,0.12,60.09,0.4,595.2,0.361,1873,0.263,1878,0.208,1879
55000,0.12,58.09,0.3,655.0,0.284,1878,0.369,1878,0.195,1881
60000,0.12,59.54,0.2,716.4,0.293,1884,0.283,1879,0.255,1882
