game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,59.48,0.2,31.4,0.253,1936,0.29,1925,0.289,1936
10000,0.24,59.76,0.2,63.6,0.26,1937,0.329,1925,0.251,1936
15000,0.21,60.24,0.2,96.3,0.269,1937,0.333,1925,0.242,1936
20000,0.18,60.85,0.2,129.3,0.29,1938,0.274,1928,0.278,1936
25000,0.15,60.84,0.2,162.6,0.317,1938,0.254,1928,0.254,1936
30000,0.12,61.46,0.3,196.2,0.362,1938,0.251,1928,0.213,1936
35000,0.12,59.16,0.3,229.2,0.387,1938,0.207,1929,0.237,1936
40000,0.12,59.76,0.2,262.8,0.287,1938,0.213,1930,0.322,1936
45000,0.12,59.73,0.2,295.9,0.225,1938,0.23,1931,0.368,1937
50000,0.12,60.65,0.3,329.6,0.239,1939,0.257,1931,0.335,1937
55000,0.12,60.84,0.3,363.0,0.281,1939,0.318,1931,0.248,1937
60000,0.12,60.8,0.3,396.3,0.279,1939,0.317,1932,0.236,1937
