game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,58.38,0.2,55.6,0.254,1892,0.24,1880,0.336,1883
10000,0.24,58.82,0.3,112.3,0.237,1893,0.23,1882,0.373,1884
15000,0.21,60.74,0.4,170.3,0.264,1895,0.258,1884,0.314,1884
20000,0.18,59.46,0.3,228.0,0.264,1897,0.272,1887,0.308,1886
25000,0.15,59.2,0.3,286.3,0.292,1903,0.27,1890,0.268,1890
30000,0.12,60.59,0.2,345.4,0.233,1903,0.286,1895,0.314,1894
35000,0.12,61.12,0.3,406.0,0.28,1903,0.23,1895,0.325,1894
40000,0.12,60.48,0.2,465.6,0.25,1904,0.289,1895,0.282,1896
45000,0.12,60.2,0.3,525.7,0.229,1906,0.365,1897,0.227,1896
50000,0.12,60.39,0.3,585.7,0.233,1906,0.349,1898,0.249,1897
55000,0.12,59.97,0.3,645.6,0.299,1906,0.271,1898,0.268,1897
60000,0.12,61.28,0.3,706.7,0.277,1908,0.308,1898,0.248,1900
