game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,58.77,0.2,56.7,0.288,1932,0.251,1923,0.284,1932
10000,0.24,60.18,0.2,114.9,0.273,1932,0.3,1923,0.259,1933
15000,0.21,60.33,0.2,173.2,0.248,1933,0.286,1923,0.296,1933
20000,0.18,60.07,0.3,232.0,0.223,1933,0.345,1923,0.272,1933
25000,0.15,60.62,0.2,291.4,0.308,1933,0.296,1923,0.226,1933
30000,0.12,60.79,0.3,351.6,0.344,1933,0.223,1923,0.266,1934
35000,0.12,60.74,0.4,413.0,0.318,1933,0.234,1923,0.277,1934
40000,0.12,61.14,0.4,474.6,0.222,1933,0.276,1924,0.325,1934
45000,0.12,61.78,0.3,536.4,0.302,1935,0.259,1924,0.258,1934
50000,0.12,60.36,0.2,597.3,0.273,1936,0.307,1925,0.248,1934
55000,0.12,59.79,0.3,656.9,0.321,1936,0.247,1925,0.278,1934
60000,0.12,61.74,0.3,717.7,0.243,1936,0.309,1925,0.265,1935
